release,file,source_commit,sha256,identical_to_baseline_build
SSCI-HABITESE-5.3.0,06_reports.txt,917987469590875cf382fd395306548f7cfa7c15,5ace507158d06482a3a67a3d5d027abd00890443e2879e0117bb0391a07258cd,False
SSCI-HABITESE-5.3.0,08_execution_pipeline.txt,917987469590875cf382fd395306548f7cfa7c15,ed0a4478265e35596b577817e115415428f4ebe0f5cdb445ced0eca1feb5d590,False
SSCI-HABITESE-5.3.0,09_Especificacao_da_RDE.txt,917987469590875cf382fd395306548f7cfa7c15,1e7713d0dfc0e55b219e71bab868a32655b97b902e8340647a0f87ab0a072fa1,True
SSCI-HABITESE-5.4.0,00_engine.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,3b1563f63de01b977885b10b90959814f63c8e2588faa7bbc68907d95418a966,True
SSCI-HABITESE-5.4.0,01_entities.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,6c751f361bdbab40b66f93d8f681ea6df5c618a02f7fada337ba41d3e8f12975,True
SSCI-HABITESE-5.4.0,02_requirements.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,2bfb476b47fce7aa4cfe6d1d25f7e156ab3dba001f4f3dc7598bde11beb5c8fa,True
SSCI-HABITESE-5.4.0,02a_applicability.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,00428f2e30243cd8200992c64553165dfc01d8096c1ff5e8684404b0f27ff7cd,True
SSCI-HABITESE-5.4.0,03_table1.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,c691e6e162a3a73bfbe58405c9a35f96154e86e7ad90fe244d7ffb95a8c769a6,True
SSCI-HABITESE-5.4.0,04_table4.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,89b7a3e361f2c2adfe6beb2b6db458bba7da7d4cfeacba36a7649ae1adbdcc36,True
SSCI-HABITESE-5.4.0,05_nonconformities.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,61fecef0f8f47b9a870322a8689649e893f738418d23497c8c0fb298cc6a6c68,True
SSCI-HABITESE-5.4.0,06_reports.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,82bff0aae12548194f47dff0fde0823ff2ad1facc10546804dd014bb9e120ba3,True
SSCI-HABITESE-5.4.0,08_execution_pipeline.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,df261a9260b82b9ed8cf378423e8307a9bd2b96d00d5c5f192ed7cf270325c36,True
SSCI-HABITESE-5.4.0,09_Especificacao_da_RDE.txt,9d2e7f175507a4e81e3ed80d7ef57e89d73124d1,1e7713d0dfc0e55b219e71bab868a32655b97b902e8340647a0f87ab0a072fa1,True
