document_symbol,criterion,location,occurrences_in_entities
PRESSURIZATION_DRT,T4_IN09_DRT,knowledge-base/04_table4.txt:158,0
PRESSURIZATION_TEST_REPORT,T4_IN09_TEST_REPORT,knowledge-base/04_table4.txt:186,0
PRESSURIZATION_OPERATION_MANUAL,T4_IN09_MANUAL,knowledge-base/04_table4.txt:216,0
PRESSURIZATION_MAINTENANCE_CHECKLIST,T4_IN09_CHECKLIST,knowledge-base/04_table4.txt:238,0
SMOKE_CONTROL_COMMISSIONING_REPORT,T4_IN10_COMMISSIONING,knowledge-base/04_table4.txt:262,0
SPRINKLER_COMMISSIONING_REPORT,T4_IN15_COMMISSIONING,knowledge-base/04_table4.txt:335,0
