catalog_id,requirements,aliases,official_entry_present
RT-002,REQ_T1_DRT_REQUIRED|REQ_T1_DRT_ACTIVITY_EXECUTION,RT_002_EXECUCAO_DE_OBRA,False
RT-003,REQ_T1_DRT_SMSCI|REQ_IN08_MANUAL|REQ_IN09_DRT|REQ_IN09_MANUAL|REQ_IN19_EXECUTION|REQ_IN19_GROUNDING|REQ_IN34_EXPLOSION_PROTECTION|REQ_IN34_DUST_CONTROL|REQ_IN34_HEAT_SENSORS|REQ_IN34_LIGHTNING_PROTECTION,RT_003_EXECUCAO_DE_SISTEMA|RT_005_INSPECAO_TECNICA,False
RT-005,REQ_IN09_DRT,RT_003_EXECUCAO_DE_SISTEMA|RT_005_INSPECAO_TECNICA,False
RT-006,REQ_IN08_ESTANQUEIDADE|REQ_IN09_TEST_REPORT,RT_006_ENSAIO_TECNICO,False
RT-007,REQ_T1_CONFORMITY_REPORT|REQ_T1_CONFORMITY_REPORT_SIGNED|REQ_IN18_CMAR|REQ_IN19_FINAL_VERIFICATION,RT_007_AVALIACAO_TECNICA,False
RT-014,REQ_IN07_COMMISSIONING|REQ_IN10_COMMISSIONING|REQ_IN12_COMMISSIONING|REQ_IN15_COMMISSIONING,RT_014_COMISSIONAMENTO,False
RT-015,REQ_IN09_CHECKLIST,RT_015_MANUTENCAO,False
